POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,Year
,,,,,,,,,,,,,,,,0.22,(336K),IndianaPurdue,Big Ten,"Nov. 25, Noon",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(288K),Utah St.Air Force,MWC,"Nov. 25, 10:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(271K),UNCN.C. State,ACC,"Nov. 25, 3:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,273K,ColoradoUtah,Pac-12,"Nov. 25, 10:00 PM",FS1,2017
,,,,,,,,,,,,,,,,n.a.,(242K),Kent StateAkron,MAC,"Nov. 21, 7:00 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(132K),W. MichiganToledo,MAC,"Nov. 24, 11:30 AM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(81K),ECUMemphis,American,"Nov. 25, Noon",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(81K),UTSALa. Tech,Sun Belt,"Nov. 25, 7:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,n.a.,WKUFIU,C-USA,"Nov. 24, 7:00 PM",beIN,2017
,,,,,,,,,,,,,,,,WEEK TWELVE,WEEK TWELVE,WEEK TWELVE,WEEK TWELVE,WEEK TWELVE,WEEK TWELVE,2017
,,,,,,,,,,,,,,,,3.3,5.226M,MichiganWisconsin,Big Ten,"Nov. 18, Noon",FOX,2017
,,,,,,,,,,,,,,,,2.5,4.048M,UCLAUSC,Pac-12,"Nov. 18, 8:00 PM",ABC,2017
,,,,,,,,,,,,,,,,2.3,(3.765M),CFP Rankings Show,CFP Rankings Show,"Nov. 14, 9:20 PM",ESPN,2017
,,,,,,,,,,,,,,,,2.1,3.397M,KentuckyGeorgia,SEC,"Nov. 18, 3:30 PM",CBS,2017
,,,,,,,,,,,,,,,,2.1,3.339M,VirginiaMiami,ACC,"Nov. 18, Noon",ABC,2017
,,,,,,,,,,,,,,,,2.0,3.203M,NavyNotre Dame,AmericanInd,"Nov. 18, 3:30 PM",NBC,2017
,,,,,,,,,,,,,,,,1.9,3.093M,IllinoisOhio State,Big Ten,"Nov. 18, 3:30 PM",ABC,2017
,,,,,,,,,,,,,,,,1.6,(2.946M),LSUTennessee,SEC,"Nov. 18, 7:15 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.3,2.035M,MarylandMichigan St.,Big Ten,"Nov. 18, 4:00 PM",FOX,2017
,,,,,,,,,,,,,,,,n.a.,(1.911M),College GamedayFrom Michigan-Wisconsin,College GamedayFrom Michigan-Wisconsin,"Nov. 18, 9:00 AM",ESPN,2017
,,,,,,,,,,,,,,,,1.1,1.678M,Miss. St.Arkansas,SEC,"Nov. 18, Noon",CBS,2017
,,,,,,,,,,,,,,,,1.0,(1.606M),OklahomaKansas,Big 12,"Nov. 18, 3:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.95,1.598M,CalStanford,Pac-12,"Nov. 18, 8:15 PM",FOX,2017
,,,,,,,,,,,,,,,,1.0,(1.594M),TexasW. Virginia,Big 12,"Nov. 18, Noon",ESPN,2017
,,,,,,,,,,,,,,,,0.8,1.564M,NebraskaPenn State,Big Ten,"Nov. 18, 4:00 PM",FS1,2017
,,,,,,,,,,,,,,,,0.9,(1.537M),UtahWashington,Pac-12,"Nov. 18, 10:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.8,(1.516M),Texas A&MMississippi,SEC,"Nov. 18, 7:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.51,(831K),K-StateOklahoma St.,Big 12,"Nov. 18, 3:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.37,(545K),TulsaUSF,American,"Nov. 16, 7:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.33,(526K),UL-MonroeAuburn,SEC,"Nov. 18, Noon",ESPN2,2017
,,,,,,,,,,,,,,,,0.26,(436K),Air ForceBoise St.,MWC,"Nov. 18, 10:45 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(412K),N.C. StateWake Forest,ACC,"Nov. 18, 7:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,0.25,388K,TCUTexas Tech,Big 12,"Nov. 18, Noon",FS1,2017
,,,,,,,,,,,,,,,,n.a.,(385K),W. MichiganN. Illinois,MAC,"Nov. 15, 7:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(359K),UNLVNew Mexico,MWC,"Nov. 17, 9:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(310K),OhioAkron,MWC,"Nov. 14, 7:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(223K),SyracuseLouisville,ACC,"Nov. 18, 3:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(175K),ToledoBowl. Green,MAC,"Nov. 15, 8:00 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(144K),UCFTemple,American,"Nov. 18, Noon",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(112K),C. MichiganKent State,MAC,"Nov, 14, 7:00 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,n.a.,"Army
North Texas",C-USA,"Nov. 18, 6:30 PM",beIN,2017
,,,,,,,,,,,,,,,,4.4,7.407M,GeorgiaAuburn,SEC,"Nov. 11, 3:30 PM",CBS,2017
,,,,,,,,,,,,,,,,3.9,(7.031M),AlabamaMiss. St.,SEC,"Nov. 11, 7:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,3.9,6.727M,Notre DameMiami,Ind.ACC,"Nov. 11, 8:00 PM",ABC,2017
,,,,,,,,,,,,,,,,2.35,3.780M,IowaWisconsin,Big Ten,"Nov. 11, 4:00 PM",ABC,2017
,,,,,,,,,,,,,,,,2.4,3.728M,Michigan St.Ohio State,Big Ten,"Nov. 11, Noon",FOX,2017
,,,,,,,,,,,,,,,,2.0,2.995M,OKST-ISUor NCST-BC,Big 12ACC,"Nov. 11, Noon",ABC,2017
,,,,,,,,,,,,,,,,1.8,2.960M,TCUOklahoma,Big 12,"Nov. 11, 8:00 PM",FOX,2017
,,,,,,,,,,,,,,,,1.5,2.391M,FloridaS. Carolina,SEC,"Nov. 11, Noon",CBS,2017
,,,,,,,,,,,,,,,,n.a.,(2.108M),College GamedayFrom Notre Dame-Miami,College GamedayFrom Notre Dame-Miami,"Nov. 11, 9:00 AM",ESPN,2017
,,,,,,,,,,,,,,,,1.2,(2.032M),ArkansasLSU,SEC,"Nov. 11, Noon",ESPN,2017
,,,,,,,,,,,,,,,,1.1,(1.872M),FSUClemson,ACC,"Nov. 11, 3:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.05,1.641M,USCColorado,Pac-12,"Nov. 11, 4:00 PM",FOX,2017
,,,,,,,,,,,,,,,,n.a.,1.057M,WashingtonStanford,Pac-12,"Nov. 10, 11:15 PM",FS1,2017
,,,,,,,,,,,,,,,,0.7,(1.015M),UNCPittsburgh,ACC,"Nov. 9, 7:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.54,(983K),W. VirginiaK-State,Big 12,"Nov. 11, 3:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(761K),CFP Rankings Show,CFP Rankings Show,"Nov. 7, 7:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,(697K),TempleCincinnati,American,"Nov. 10, 7:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.39,659K,NebraskaMinnesota,Big Ten,"Nov. 11, Noon",FS1,2017
,,,,,,,,,,,,,,,,0.31,(531K),Oregon St.Arizona,Pac-12,"Nov. 11, 10:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(525K),BYUUNLV,Ind.MWC,"Nov. 10, 10:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(471K),ToledoOhio,MAC,"Nov. 8, 7:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.24,(421K),PurdueNorthwestern,Big Ten,"Nov. 11, 7:15 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.26,(408K),ABC reverse mirror,ABC reverse mirror,"Nov. 11, Noon",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(369K),AkronMiami (Ohio),MAC,"Nov. 7, 7:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(222K),New MexicoTexas A&M,MWCSEC,"Nov. 11, 7:00 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(217K),VirginiaLouisville,ACC,"Nov. 11, 3:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(163K),UConnUSF,American,"Nov. 11, Noon",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(159K),WyomingAir Force,MWC,"Nov. 11, 10:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(115K),E. MichiganC. Michigan,MAC,"Nov. 8, 8:15 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(102K),Ga. SouthernApp. State,Sun Belt,"Nov. 9, 7:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(89K),Bowl. GreenBuffalo,MAC,"Nov. 7, 7:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,n.a.,W. KentuckyMarshall,C-USA,"Nov. 11, 6:30 PM",beIN,2017
