Year,Team,Win,Loss,PF,PA,PD,AvgPF,AvgPA,Attendance
2008,Oklahoma,5,0,271,87,184,54.2,17.4,85041.4
2008,Ole Miss,5,1,220,72,148,36.6666666666667,12,53292.5
2008,Oregon State,5,1,237,152,85,39.5,25.3333333333333,44930.6666666667
2008,Penn State,7,0,323,93,230,46.1428571428572,13.2857142857143,108253.857142857
2008,Rutgers,5,2,262,92,170,37.4285714285714,13.1428571428571,42377.5714285714
2008,San Diego State,2,4,172,203,-31,28.6666666666667,33.8333333333333,24375.8333333333
2008,SMU,1,5,228,184,44,38,30.6666666666667,19396.1666666667
2008,Southern Miss,3,3,278,116,162,46.3333333333333,19.3333333333333,30101.5
2008,Syracuse,2,4,137,212,-75,22.8333333333333,35.3333333333333,33465.6666666667
2008,Texas A&M,2,5,165,246,-81,23.5714285714286,35.1428571428571,82193
2008,Toledo,1,5,176,,,29.3333333333333,,17007.6666666667
2008,Troy,4,0,,,,,,19178.5
2008,UCF,2,4,158,,,26.3333333333333,,39596
2008,UCLA,3,3,244,95,149,40.6666666666667,15.8333333333333,74021.5
2008,UMass,3,1,118,58,60,29.5,14.5,10480.75
2008,USC,5,0,183,16,167,36.6,3.2,85429.8
2008,UTEP,3,3,198,153,45,33,25.5,37296.3333333333
2008,Virginia,4,3,221,62,159,31.5714285714286,8.85714285714286,53815.4285714286
2008,Washington,0,7,246,201,45,35.1428571428571,28.7142857142857,63639.8571428572
2008,West Virginia,5,1,152,80,72,25.3333333333333,13.3333333333333,57638
2008,Western Kentucky,1,4,192,109,83,38.4,21.8,16696.6
2008,Wisconsin,5,2,278,143,135,39.7142857142857,20.4285714285714,81088
2009,Alabama,7,0,229,59,170,32.7142857142857,8.42857142857143,92012
2009,Arizona,5,1,212,125,87,35.3333333333333,20.8333333333333,52546.6666666667
2009,Arkansas,6,1,327,169,158,46.7142857142857,24.1428571428571,65111.8571428572
2009,Arkansas State,3,2,163,87,76,32.6,17.4,17689
2009,Ball State,0,6,123,136,-13,20.5,22.6666666666667,10887.8333333333
2009,Baylor,2,4,217,129,88,36.1666666666667,21.5,36306.1666666667
2009,Boise State,6,0,232,71,161,38.6666666666667,11.8333333333333,32581
2009,Boston College,6,1,239,113,126,34.1428571428571,16.1428571428571,35715.5714285714
2009,Buffalo,2,4,154,151,3,25.6666666666667,25.1666666666667,15959.6666666667
2009,BYU,4,2,242,146,96,40.3333333333333,24.3333333333333,64236
2009,California,4,2,231,84,147,38.5,14,59471.6666666667
2009,Clemson,3,1,133,62,71,33.25,15.5,75130.5
2009,Colorado,3,2,127,123,4,25.4,24.6,49542
2009,FIU,2,3,140,156,-16,28,31.2,10203.6
2009,Florida State,3,3,242,171,71,40.3333333333333,28.5,74344.5
2009,Georgia Tech,5,1,173,131,42,28.8333333333333,21.8333333333333,51583.5
2009,Illinois,2,4,182,163,19,30.3333333333333,27.1666666666667,59544.5
2009,Indiana,3,3,132,148,-16,22,24.6666666666667,41832.8333333333
2009,Iowa State,4,2,222,56,166,37,9.33333333333333,46242.1666666667
2009,Kansas,4,2,199,149,50,33.1666666666667,24.8333333333333,50581.3333333333
2009,Kansas State,5,1,181,92,89,30.1666666666667,15.3333333333333,46763.1666666667
2009,Kent State,3,3,191,,,31.8333333333333,,15512
2009,Louisiana,4,2,178,184,-6,29.6666666666667,30.6666666666667,18666.3333333333
2009,Louisiana Tech,4,1,210,91,119,42,18.2,20000
2009,Marshall,4,2,146,124,22,24.3333333333333,20.6666666666667,22235.8333333333
2009,Memphis,2,4,146,175,-29,24.3333333333333,29.1666666666667,21188.3333333333
2009,Miami (OH),1,3,84,128,-44,21,32,8889.75
2009,Michigan State,4,2,170,108,62,28.3333333333333,18,74494.1666666667
2009,Middle Tennessee,6,1,,,,,,17946
2009,Missouri,3,3,231,124,107,38.5,20.6666666666667,64119.8333333333
2009,NC State,5,3,302,,,37.75,,56422.125
2009,Nebraska,5,2,258,,,36.8571428571429,,85888
2009,Nevada,5,1,274,153,121,45.6666666666667,25.5,17358.8333333333
2009,New Mexico,1,5,105,186,-81,17.5,31,26943.5
2009,Northern Illinois,5,1,213,80,133,35.5,13.3333333333333,14889.1666666667
2009,Northwestern,5,2,189,172,17,27,24.5714285714286,24190.2857142857
2009,Notre Dame,4,3,203,166,37,29,23.7142857142857,80795
2009,Ohio,4,2,156,108,48,26,18,17947
2009,Oklahoma,6,0,276,47,229,46,7.83333333333333,84778.3333333333
2009,Ole Miss,5,1,242,69,173,40.3333333333333,11.5,54769.3333333333
2009,Oregon State,4,2,196,140,56,32.6666666666667,23.3333333333333,42328.1666666667
2009,Penn State,6,1,265,47,218,37.8571428571429,6.71428571428571,106678.571428571
2009,Rutgers,4,3,194,117,77,27.7142857142857,16.7142857142857,49112.5714285714
2009,San Diego State,3,3,162,176,-14,27,29.3333333333333,24464.1666666667
2009,SMU,5,1,186,162,24,31,27,21347.5
2009,South Alabama,7,0,321,41,280,45.8571428571429,5.85714285714286,18031.2857142857
2009,Southern Miss,6,0,238,109,129,39.6666666666667,18.1666666666667,30696.3333333333
2009,Syracuse,4,4,262,184,78,32.75,23,39042.875
2009,Texas A&M,5,2,278,153,125,39.7142857142857,21.8571428571429,76800.2857142857
2009,Toledo,3,2,171,176,-5,34.2,35.2,16284.8
2009,Troy,5,0,197,89,108,39.4,17.8,18413.2
2009,UCF,6,1,262,114,148,37.4285714285714,16.2857142857143,36934.1428571429
2009,UCLA,4,2,139,128,11,23.1666666666667,21.3333333333333,64547.1666666667
2009,UMass,5,1,192,75,117,32,12.5,10887
2009,USC,4,2,191,128,63,31.8333333333333,21.3333333333333,84799.3333333333
2009,UTEP,3,3,261,151,110,43.5,25.1666666666667,29009.6666666667
2009,Virginia,1,5,195,109,86,32.5,18.1666666666667,46224.5
2009,Washington,5,1,189,110,79,31.5,18.3333333333333,63780.3333333333
2009,West Virginia,5,0,148,97,51,29.6,19.4,58132.2
2009,Western Kentucky,0,6,167,174,-7,27.8333333333333,29,14102.6666666667
2009,Wisconsin,6,0,226,119,107,37.6666666666667,19.8333333333333,79953.5
2010,Alabama,6,1,246,67,179,35.1428571428571,9.57142857142857,101821
2010,Arizona,4,3,217,139,78,31,19.8571428571429,55408.1428571429
2010,Arkansas,6,1,271,116,155,38.7142857142857,16.5714285714286,67042.2857142857
2010,Arkansas State,3,2,181,130,51,36.2,26,17393.8
2010,Ball State,2,4,162,212,-50,27,35.3333333333333,8947.16666666667
2010,Baylor,4,2,224,153,71,37.3333333333333,25.5,40043.1666666667
2010,Boise State,5,0,249,55,194,49.8,11,33094.8
2010,Boston College,4,3,150,,,21.4285714285714,,38369.2857142857
2010,Buffalo,1,5,224,,,37.3333333333333,,12980.5
2010,BYU,5,1,180,99,81,30,16.5,61380.5
2010,California,4,3,229,113,116,32.7142857142857,16.1428571428571,57873.1428571429
2010,Clemson,1,1,48,43,5,24,21.5,80417.5
2010,Colorado,4,2,187,148,39,31.1666666666667,24.6666666666667,46862
2010,FIU,2,2,111,103,8,27.75,25.75,17034
2010,Florida State,6,1,230,92,138,32.8571428571429,13.1428571428571,71270
2010,Georgia Tech,4,2,184,145,39,30.6666666666667,24.1666666666667,46449.3333333333
2010,Hawaii,6,1,315,136,179,45,19.4285714285714,35900.1428571429
